"题号","题干","A","B","C","D","E","答案","难度","题型"
"39","（  ），是以毛泽东同志为主要代表的中国共产党人对一个脱胎于半殖民地半封建的东方大国如何进行社会主义革命问题的系统回答和正确解决，是马克思列宁主义关于社会主义革命理论在中国的正确运用和创造性发展的结果。","解放战争的胜利","社会主义基本制度的确立","新中国的成立","三反""五反运动的结束","","B","无","单选题"
"40","关于党建立、巩固和发展统一战线的实践经验，以下说法错误的是（  ）。","要采取区别对待的方针，要坚持发展中间势力、孤立顽固势力的策略方针","要建立巩固的工农联盟","要正确对待资产阶级，尤其是民族资产阶级","要坚持独立自主的原则","","A","无","单选题"
"41","手工业生产合作社是（  ）的集体经济组织，生产资料归社员集体所有。","半社会主义性质","社会主义性质","社会主义萌芽性质","资本主义萌芽性质","","B","无","单选题"
"42","要正确对待资产阶级，尤其是民族资产阶级。在革命斗争中要依据革命的需要，对资产阶级实行（  ）的策略。","联合","没收资本","耐心等待","既联合又斗争","","D","无","单选题"
"43","统一战线是实行武装斗争的统一战线，武装斗争是统一战线的中心支柱，（  ）则是掌握统一战线和武装斗争这两个武器以实行对敌冲锋陷阵的英勇战士。","党的组织","工农联盟","马克思主义理论","人民民主专政","","A","无","单选题"
"44","实践表明，照抄照搬苏联经验不符合中国国情，仍需要实现（   ），积极探索适合中国特点的社会主义建设道路。","中国特色社会主义","马克思主义与中国实际的正式结合","马克思主义与中国实际的""第二次结合""","社会主义本质的科学解答","","C","无","单选题"
"45","（  ）是中国革命的首要对象。","帝国主义支持下的北洋军阀","帝国主义","封建地主阶级","官僚资本主义","","B","无","单选题"
"46","1954年9月，周恩来在一届全国人大一次会议的政府工作报告中代表党中央第一次提出关于（   ）的构想。","两参一改三结合","一纲四目","两个""中间地带""","四个现代化","","D","无","单选题"
"47","党的（　 ）提出，要扩大社会主义民主，开展反对官僚主义的斗争。","七大","八大","一大","三大","","B","无","单选题"
"48","为了走中国工业化道路，党的八大提出（   ）的方针。","以阶级斗争为中心的方针","以经济建设为中心的方针","既反保守又反冒进、在综合平衡中稳步前进的方针","统筹兼顾的方针","","C","无","单选题"
"49","中国革命走农村包围城市、武装夺取政权的道路，根本在于处理好（  ）。","土地革命、武装斗争、农村革命根据地建设三者之间的关系","实事求是、群众路线、独立自主之间的关系","统一战线、武装斗争、党的建设之间的关系","新民主主义革命和社会主义革命之间的关系","","A","无","单选题"
"50","国家资本主义经济是私人资本主义经济向（　）过渡的形式。","合作社经济","社会主义国营经济","集体经济","个体经济","","B","无","单选题"
"51","对资本主义工商业进行社会主义改造经历了三个步骤，其中实行第一步和第二步时在利润分配上采取的政策是（  ）。","劳资两利","统筹兼顾","四马分肥","公私兼顾","","C","无","单选题"
"52","1949年新中国的建立，标志着中国已从半殖民地半封建社会进入（  ）。","新民主主义社会","资本主义社会","共产主义社会","社会主义社会","","A","无","单选题"
"53","毛泽东提出，对于政治思想领域的人民内部矛盾，实行（    ）的方针。","百花齐放，百家争鸣","长期共存、互相监督","团结-批评-团结","民族平等、团结互助","","C","无","单选题"
"54","毛泽东在《关于正确处理人民内部矛盾的问题》中提出对于物质利益、分配方面的人民内部矛盾，实行（    ）的方针，兼顾国家、集体和个人三方面的利益。","调整、巩固、提高","统筹兼顾、适当安排","团结-批评-团结","坚持民主集中制原则","","B","无","单选题"
"55","人民军队政治工作的基本原则包括（  ）。","官兵一致的原则、军民一致的原则、瓦解敌军和优待俘虏的原则","军政一致的原则、军民一致的原则、瓦解敌军和优待俘虏的原则","官兵一致的原则、军政一致的原则、瓦解敌军和优待俘虏的原则","官兵一致的原则、军民一致的原则、军政一致的原则","","A","无","单选题"
"56","党的八大在探索社会主义建设道路方面的重大贡献是（　 ）。","提出党的工作重心转移到社会主义现代化建设中来","提出大力加强执政党建设的思想","提出要正确处理两类不同性质的矛盾","对当时我国的国情、阶级状况、主要矛盾及党的主要任务的分析基本是正确的","","D","无","单选题"
"57","（  ）为农村革命根据地的创立、巩固和发展提供了坚强后盾。","相当力量正式红军的存在","农业生产条件的改善","经济实力显著增强","统一战线的形成","","A","无","单选题"
"58","新中国成立以来我们在社会主义建设中所经历的曲折和失误，归根结底在于没有完全搞清楚（    ）。","阶级斗争和经济建设的关系","什么是社会主义、怎样建设社会主义","解放生产力和发展生产力的关系","计划与市场的关系","","B","无","单选题"
"59","党领导人民探索社会主义建设道路汲取了(    )的经验教训，根据自己的实践形成了许多独创性成果，深化了对社会主义的认识。","美国模式","越南模式","苏联模式","朝鲜模式","","C","无","单选题"
"60","毛泽东认为，解决不同性质的矛盾，要采取不同的方法。解决敌我矛盾需要用的方法是（     ）。","斗争","暴力","专政","镇压","","C","无","单选题"
"61","1956年毛泽东在《论十大关系》的报告中，从十个方面论述了我国社会主义建设需要重点把握的重大关系。其中前三条讲重工业和轻工业、农业的关系，沿海工业和内地工业的关系，经济建设和国防建设的关系。这里涉及的问题的实质是（ 　 ）。","优先发展工业，特别是优先发展重工业","如何开辟一条和苏联有所不同的中国工业化道路问题","建设社会主义要努力发展经济，提高生产力水平","实现社会主义工业化要照抄照搬苏联模式","","B","无","单选题"
"62","随着土地改革的基本完成，（  ）的矛盾逐步成为我国社会的主要矛盾。","工人阶级和资产阶级","无产阶级和官僚资本主义","工人阶级和封建主义","封建主义和人民大众","","A","无","单选题"
"63","社会主义建设阶段，毛泽东确立的建设社会主义的根本思想是(    )。","依据东欧国家的经验建设","根据马列主义现成理论建设","依据苏联的建设经验建设","根据本国情况走自己的道路","","D","无","单选题"
"64","20世纪50年代末60年代初，党在探索社会主义建设道路过程中，提出了一些重要思想理论观点。在经济体制和运行机制改革方面，毛泽东提出实行""两参一改三结合""。""两参一改三结合""的""一改""是指（    ）。","改革工资分配制度","改革厂长经理负责制","改革不合理的规章制度","改革计划经济体制","","C","无","单选题"
"65","1963年，周总理根据两岸关系的最新形势，在总结十年来对台工作的基本经验的基础上，将中国共产党对台政策归纳为（    ）。","一国两制","一纲四目","和平统一","和为贵","","B","无","单选题"
"66","在社会主义初步探索时期，在科技工作方面，我们党提出了（   ）的口号。","深入实施科教兴国战略","科技是第一生产力","向科学进军","科技创造未来","","C","无","单选题"
"67","20世纪50年代，毛泽东提出，中国工业化道路中最重要的问题是(    )。","国家、生产单位和生产者个人的关系问题","优先发展重工业的问题","抓好农业基础地位的问题","重工业、轻工业和农业的发展关系问题","","D","无","单选题"
"68","党在过渡时期总路线的主要内容被概括为""一化三改""。""一化""即（  ）。","社会主义工业化","四个现代化","工业现代化","资本主义工业化","","A","无","单选题"
"69","毛泽东在《论十大关系》中论述的第一大关系是（   ）。","革命和反革命的关系","沿海工业和内地工业的关系","重工业、轻工业和农业的关系","经济建设和国防建设的关系","","C","无","单选题"
"70","（　　）提出，""我们的目标，是想造成一个又有集中又有民主，又有纪律又有自由，又有统一意志、又有个人心情舒畅、生动活泼，那样一种政治局面，以利于社会主义革命和社会主义建设""。","周恩来","邓小平","刘少奇","毛泽东","","D","无","单选题"
"71","社会主义改造的实践证明，中国可以在没有实现（  ）的情况下进入社会主义。","工业化","信息化","农业化","商业化","","A","无","单选题"
"72","毛泽东提出要实现马克思主义与中国实际的""第二次结合""，其目的是（    ）。","进行阶级斗争","探索中国自己的社会主义建设道路","进行社会主义革命","进行民主革命","","B","无","单选题"
"73","（    ）以后，以江泽民同志为主要代表的中国共产党人形成了""三个代表""重要思想。","党的十三届三中全会","党的十一届三中全会","党的十一届四中全会","党的十三届四中全会","","D","无","单选题"
"74","中国革命的主力军和无产阶级最可靠的同盟军是（  ）。","民族资产阶级","知识分子","农民","城市小资产阶级","","C","无","单选题"
"75","社会主义改造的任务完成后，国内社会矛盾和阶级关系发生了重大变化，社会主义国家政治生活的主题是（　　）。","关于正确处理党的领导干部与人民群众的矛盾的问题","关于正确处理人民内部矛盾的问题","关于正确处理工人阶级同民族资产阶级的矛盾的问题","关于正确处理民族矛盾的问题","","B","无","单选题"
"76","走中国工业化道路，必须调整和完善所有制结构。为此，毛泽东、刘少奇、周恩来提出了（   ）。","三个主体，三个补充的思想","公有制为主体，多种所有制经济共同发展的思想","注意发展手工业和农业多种经营的思想","把资本主义经济作为社会主义经济的补充的思想","","D","无","单选题"
"77","毛泽东指出，用(    )的方法解决人民内部矛盾，这是一个总方针。","集中","民主","专制","中立","","B","无","单选题"
"78","改革开放前和改革开放后两个历史时期，本质都是(    )。","民主主义革命","无产阶级革命","我们党领导人民进行社会主义建设的实践探索","社会主义现代化建设时期","","C","无","单选题"
"79","1957年，毛泽东提出的社会主义现代化的战略目标是(    )。","把我国建设成为富强、民主、文明、和谐的社会主义现代化国家","实现工业化和经济的社会化、市场化和现代化","实现经济、政治、文化的现代化","把我国建设成为""一个具有现代工业、现代农业和现代科学文化的社会主义国家""","","D","无","单选题"
"80","我国工业化、现代化建设取得的辉煌成就，离不开选择了（  ）这个根本的前提条件。","社会主义道路","新民主主义社会","公有制经济","发展生产力","","A","无","单选题"
"81","社会主义改造的基本完成，使我国社会经济结构发生了根本变化，（  ）已成为我国社会的经济基础。","社会主义合作社经济","国有企业","社会主义个体经济","社会主义公有制","","D","无","单选题"
"82","毛泽东探索中国社会主义建设道路第一个标志性的重要理论成果是（    ）。","《论人民民主专政》","《论十大关系》","《关于正确处理人民内部矛盾的问题》","《关于目前的形势与任务》","","B","无","单选题"
"83","（  ）是在互助组的基础上，以个体农民自愿组织起来的半社会主义性质的集体经济组织。","常年互助组","初级农业生产合作社","高级农业生产合作社","供销小组","","B","无","单选题"
"84","在中国革命的进程中，党制定的包含新民主主义革命和社会主义革命的双重性质的政策是（  ）。","接收帝国主义在华企业归新民主主义国家所有","对民族工商业实行赎买政策","没收封建地主阶级的土地归农民所有","没收官僚资本","","D","无","单选题"
"85","我国的社会主义改造，是围绕着（  ）建设这个中心任务进行的。","社会主义工业化","社会主义农业化","科学技术现代化","国防现代化","","A","无","单选题"
"86","《论十大关系》从十个方面论述了我国社会主义建设需要重点把握的重大关系，其中着眼于经济体制改革的关系是(    )。","汉族与少数民族的关系、党和非党的关系、革命和反革命的关系","重工业和轻工业、农业的关系，沿海工业和内地工业的关系，经济建设和国防建设的关系","国家、生产单位和生产者个人的关系，中央和地方的关系","是非关系、中国和外国的关系","","C","无","单选题"
"87","在社会主义建设道路初步探索的过程中，毛泽东提出了（   ）的发展国民经济的总方针。","以农业为基础，以现代化为主导，以农轻重为序","以农业为基础，以工业为主导，以农轻重为序","以工业为基础，以农业为主导，以农轻重为序","全面发展，综合平衡","","B","无","单选题"
"88","在毛泽东思想的（   ）阶段，实现了马克思主义与中国革命实践相结合的历史性飞跃。","形成","萌芽","丰富和发展","成熟","","D","无","单选题"
"89","第二国际的机会主义者曾经以还没有实行社会主义的经济前提来否定经济文化比较落后的国家可以走向社会主义。列宁批评这种观点是（  ）。","狭隘经验论","庸俗生产力论","本本主义","主观主义","","B","无","单选题"
"90","我国农业社会主义改造遵循的原则是（  ）。","自愿互利、典型示范、国家帮助","积极领导，稳步前进","说服教育","先合作化，后机械化","","A","无","单选题"
"91","毛泽东指出：我们共产党人好比种子，人民好比土地。我们到了一个地方，就要同那里的人民结合起来，在人民中间生根、开花。这体现了中国共产党在工作中始终坚持（   ）。","独立自主","实事求是","群众路线","以人为本","","C","无","单选题"
"92","（  ）以其与社会化大生产的一致性和能够在经济落后条件下尽可能地集中力量办大事的优势，为发展社会生产力开辟了广阔的道路。","合作化道路","社会主义基本制度","新民主主义社会","国家资本主义","","B","无","单选题"
"93","对毛泽东和毛泽东思想的历史地位作出科学的、实事求是的评价的文献是（   ）。","《新民主主义论》","《关于若干历史问题的决议》","《中国共产党中央委员会关于建国以来党的若干历史问题的决议》","《论联合政府》","","C","无","单选题"
"94","党在过渡时期的总路线中所谓的""过渡时期""是指（  ）。","从新民主主义向社会主义过渡","从旧民主主义向新民主主义过渡","从封建主义向社会主义过渡","从资本主义向社会主义过渡","","A","无","单选题"
"95","毛泽东提出不要机械搬用外国的经验，而要从中国是一个（   ）这种情况出发，以工业为主导，以农业为基础，正确处理重工业同农业、轻工业的关系，走出一条适合我国国情的中国工业化道路的思想。","军事强国","工业强国","人口大国","农业大国","","D","无","单选题"
"96","1956年4月和5月，毛泽东在《论十大关系》的报告中初步总结了我国社会主义建设的经验，明确提出了（   ）。","建设有中国特色的社会主义","党在过渡时期的总路线","以苏为鉴，独立自主地探索适合中国情况的社会主义建设道路","多快好省地建设社会主义","","C","无","单选题"
"97","党在初步探索社会主义建设道路的过程中，提出""三个主体，三个补充""设想的是(     )。","邓子恢","陈云","刘少奇","邓小平","","B","无","单选题"
"98","（   ）是中华民族的优良传统，是中国共产党、中华人民共和国立党立国的重要原则。","理论联系实际","群众路线","武装斗争","独立自主","","D","无","单选题"
"99","在资本主义工商业的社会主义改造中，国家对资方在职人员和资方代理人采取（  ）的政策。","包下来","量才适用","妥善照顾","分配工作","","A","无","单选题"
"100","1956年苏共二十大之后，毛泽东提出要""以苏为鉴""，探索自己的建设道路。这表明中国共产党(    )。","实现了马克思主义同中国实际的""第二次结合","开始了马克思主义同中国实际的""第二次结合""的探索","找到了中国进行社会主义建设的正确道路","已经突破社会主义苏联模式的束缚","","B","无","单选题"
"101","我国对农业社会主义改造过程中，农村合作化的依靠力量是（  ）。","贫农和下中农","中农","雇农","富农","","A","无","单选题"
"102","1953年6月，毛泽东在中央政治局会议上正式提出了过渡时期的总路线和总任务。过渡时期总路线的主体是（　）。","逐步实现国家对农业的社会主义改造","逐步实现国家对资本主义工商业的社会主义改造","逐步实现国家的社会主义工业化","逐步实现国家对手工业的社会主义改造","","C","无","单选题"
"103","我国对个体手工业进行社会主义改造的主要方式是（  ）。","加入合作社","赎买","统购统销","公私合营","","A","无","单选题"
"104","毛泽东提出了以人民军队为骨干，依靠广大人民群众，建立农村根据地，进行（   ）的思想。","运动战","阶级斗争","人民战争","游击战","","C","无","单选题"
"105","19世纪末20世纪初，毛泽东思想形成和发展的时代背景是（   ）。","世界多极化、经济全球化的趋势深入发展","和平与发展成为时代主题","战争与发展成为时代主题","世界进入帝国主义和无产阶级革命时代","","D","无","单选题"
"106","社会主义制度确立后，在党内首先提出以苏联为鉴，探索适合中国国情的社会主义建设道路的领导人是（    ）。","周恩来","毛泽东","邓小平","陈云","","B","无","单选题"
"107","在农业社会主义改造中具有完全社会主义性质的是（  ）。","高级社","常年互助组","临时互助组","初级社","","A","无","单选题"
"108","关于坚持群众路线的论述，以下说法错误的是（   ）。","坚持群众路线，就要坚持人民是推动历史发展的根本力量","坚持群众路线，就要坚持全心全意为人民服务的根本宗旨","坚持群众路线，就要兼顾人民群众的利益和政党自己的特殊利益","坚持群众路线，就要保持党同人民群众的血肉联系","","C","无","单选题"
"109","新民主主义革命理论指出，在同资产阶级结成统一战线时，要保持无产阶级的独立性，实行（   ）的政策。","又支持又打击","又联合又斗争","武装斗争","又团结又斗争、以斗争求团结","","D","无","单选题"
"110","与新民主主义时期三种不同性质的主要经济成分相联系，中国社会的阶级构成主要是工人阶级、农民阶级和其他小资产阶级、民族资产阶级等基本的阶级力量。这三种基本的经济成分及与之相联系的三种基本的阶级力量之间的矛盾，集中表现为（  ）。","资本主义和社会主义两条道路、资产阶级和工人阶级两个阶级的矛盾","人民日益增长的物质文化需要与生产发展滞后的矛盾","人民大众同官僚资本主义、国民党残余势力的矛盾","帝国主义同中华民族、封建残余势力与广大人民群众的矛盾","","A","无","单选题"
"111","毛泽东思想初步形成于（   ）。","新中国成立后","解放战争时期","抗日战争时期","土地革命战争时期","","D","无","单选题"
"112","（  ）年9月，第一届全国人民代表大会召开和《中华人民共和国宪法》制定及颁布施行。","1954","1953","1956","1949","","A","无","单选题"
"113","1957年2月,毛泽东发表（   ）的重要讲话,提出了社会主义社会的基本矛盾和社会主义社会两类不同性质的社会矛盾学说。","《论十大关系》","《论人民民主专政》","《关于正确处理人民内部矛盾的问题》","《矛盾论》","","C","无","单选题"
"114","1956年4月和5月，毛泽东先后在中央政治局扩大会议和最高国务会议上，作了《论十大关系》的报告，这篇报告标志着（　　）。","我国已经完全走出苏联社会主义模式","党探索中国社会主义建设道路的良好开端","我们实现了马克思主义同中国实际的""第二次结合""","中国进行社会主义建设的正确道路得以确立","","B","无","单选题"
"115","毛泽东创造了全党通过（   ）进行马克思列宁主义思想教育的整风形式。","既联合又斗争","忆苦思甜","残酷斗争、无情打击","批评与自我批评","","D","无","单选题"
"116","1956年社会主义改造完成后，中国进入社会主义社会。社会主义社会的基本矛盾是(    )。","无产阶级与资产阶级的矛盾","人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾","人民内部矛盾","人民日益增长的物质文化需要同落后的社会生产之间的矛盾","","B","无","单选题"
"117","1956年我国在生产资料所有制的社会主义改造基本完成后，开始进入（  ）。","国民经济恢复时期","新民主主义社会高级阶段","社会主义初级阶段","从新民主主义向社会主义过渡时期","","C","无","单选题"
"118","毛泽东提出经济工作和其他一切工作的生命线是（   ）。","人民民主专政","统一战线工作","武装斗争","思想政治工作","","D","无","单选题"
"119","在中国共产党的历史上，把毛泽东思想确立为党必须长期坚持的指导思想并首次写入党章的会议是（   ）。","党的七大","瓦窑堡会议","党的六届六中全会","遵义会议","","A","无","单选题"
"120","毛泽东思想是被实践证明了的关于（   ）的正确的理论原则和经验总结。","中国革命、建设和改革","中国革命和改革","中国建设和改革","中国革命和建设","","D","无","单选题"
"121","在（    ）上，刘少奇代表党中央作了《关于修改党章的报告》，对马克思主义中国化从理论上作了进一步的阐述，并指出毛泽东思想是""中国化的马克思
主义""。","党的七届六中全会","党的八大","党的七大","党的六届六中全会","","C","无","单选题"
"122","关于""两参一改三结合""的思想，说法错误的是（   ）。","干部参加劳动，工人参加管理","工人群众、领导干部和专家三结合","改革不合理的规章制度","工人群众、领导干部和技术人员三结合","","B","无","单选题"
"123","中华人民共和国成立前后，鉴于我们党已成为领导全国政权的党，毛泽东多次提出务必使同志们继续地保持谦虚、谨慎、不骄、不躁的作风，务必使同志们继续地保持（   ）的作风。","敢于拼搏","乐于奉献","艰苦奋斗","勇往直前","","C","无","单选题"
"124","下列关于无产阶级及其政党要实现自己对同盟者的领导必须具备的条件中，不正确的是（   ）。","时刻防范被领导者","对被领导者给以物质利益，至少不损害其利益","率领被领导者向着共同的敌人作坚决斗争并取得胜利","对被领导者给以物质利益的同时给以政治教育","","A","无","单选题"
"125","1938年召开的党的六届六中全会，被毛泽东认为是""决定中国之命运""的一次重要会议。在这次会议上，毛泽东提出了一个著名的论断，即（    ）。","没有调查就没有发言权","马克思主义的中国化","兵民是胜利之本","枪杆子里面出政权","","B","无","单选题"
"126","毛泽东思想的精髓是（   ）。","自我革命","艰苦奋斗","独立自主","实事求是","","D","无","单选题"
"127","坚持独立自主是中国共产党百年奋斗的十大历史经验之一。独立自主是（   ）。","我们党从中国实际出发、依靠党和人民力量进行革命、建设、改革的必然结论","中国共产党的最大政治优势","一个国家、一个民族发展进步的不竭动力","中国共产党区别于其他政党的显著标志","","A","无","单选题"
"128","马克思曾经指出：""理论在一个国家实现的程度，总是决定于理论满足于这个国家的需要的程度。""源自西方的马克思主义之所以能够在中国大地扎根、开花、结果，从根本上说，是因为其契合了近现代以来中国社会的迫切需要。最先提出""马克思主义的中国化""这一命题的著作是（    ）。","《论联合政府》","《论人民民主专政》","《论新阶段》","《湖南农民运动考察报告》","","C","无","单选题"
"129","（    ）以后，以胡锦涛同志为主要代表的中国共产党人，团结带领全党全国各族人民，在全面建设小康社会进程中推进实践创新、理论创新、制度创新，形成了科学发展观。","党的十七大","党的十六大","党的十四届三中全会","党的十五届三中全会","","B","无","单选题"
"130","毛泽东思想得到多方面展开并趋于成熟是在（   ）。","抗日战争时期","大革命时期","解放战争时期","中华人民共和国成立后","","A","无","单选题"
"131","（    ）以来，以习近平同志为主要代表的中国共产党人，坚持毛泽东思想、邓小平理论、""三个代表""重要思想、科学发展观，深刻总结并充分运用党成立以来的历史经验，从新的实际出发，创立了习近平新时代中国特色社会主义思想。","党的二十大","党的十七大","党的十九届六中全会","党的十八大","","D","无","单选题"
